user,exercise,reps,sets
User_0,Lunges,11,3
User_0,Plank,6,5
User_0,Tricep Dips,5,3
User_0,Bicep Curls,5,5
User_0,Shoulder Press,11,5
User_1,Bench Press,8,2
User_1,Leg Press,8,2
User_1,Leg Press,6,3
User_1,Tricep Dips,14,4
User_1,Shoulder Press,9,3
User_2,Push-Ups,7,4
User_2,Plank,12,3
User_2,Lunges,14,2
User_2,Bicep Curls,9,2
User_2,Tricep Dips,7,3
User_3,Tricep Dips,9,4
User_3,Leg Press,10,2
User_3,Lunges,5,3
User_3,Plank,13,3
User_3,Shoulder Press,12,4
User_4,Bicep Curls,9,3
User_4,Bicep Curls,12,4
User_4,Leg Press,14,2
User_4,Deadlifts,7,3
User_4,Shoulder Press,10,4
User_5,Shoulder Press,10,4
User_5,Bicep Curls,5,5
User_5,Leg Press,7,3
User_5,Squats,8,3
User_5,Push-Ups,9,3
User_6,Lunges,8,4
User_6,Bench Press,14,5
User_6,Push-Ups,10,2
User_6,Plank,15,3
User_6,Deadlifts,7,4
User_7,Bicep Curls,15,2
User_7,Bicep Curls,7,2
User_7,Bench Press,7,5
User_7,Bench Press,8,4
User_7,Push-Ups,7,3
User_8,Deadlifts,7,3
User_8,Bench Press,15,3
User_8,Deadlifts,6,4
User_8,Leg Press,7,5
User_8,Tricep Dips,8,3
User_9,Deadlifts,12,2
User_9,Shoulder Press,12,2
User_9,Plank,6,5
User_9,Tricep Dips,14,5
User_9,Push-Ups,13,5
User_10,Push-Ups,6,3
User_10,Deadlifts,15,3
User_10,Shoulder Press,8,5
User_10,Squats,12,2
User_10,Deadlifts,15,3
User_11,Lunges,15,2
User_11,Bench Press,8,2
User_11,Bench Press,6,5
User_11,Shoulder Press,10,4
User_11,Tricep Dips,6,3
User_12,Push-Ups,7,4
User_12,Push-Ups,13,5
User_12,Plank,10,4
User_12,Shoulder Press,11,3
User_12,Bench Press,14,2
User_13,Bicep Curls,15,5
User_13,Tricep Dips,7,3
User_13,Bench Press,7,5
User_13,Lunges,6,3
User_13,Tricep Dips,13,3
User_14,Bicep Curls,5,4
User_14,Bench Press,7,4
User_14,Bicep Curls,13,4
User_14,Leg Press,10,2
User_14,Plank,9,4
User_15,Squats,5,2
User_15,Bicep Curls,8,5
User_15,Shoulder Press,5,4
User_15,Deadlifts,8,4
User_15,Tricep Dips,11,5
User_16,Shoulder Press,7,2
User_16,Bench Press,7,2
User_16,Plank,7,5
User_16,Plank,14,2
User_16,Squats,7,4
User_17,Deadlifts,15,3
User_17,Lunges,12,3
User_17,Leg Press,8,5
User_17,Lunges,15,3
User_17,Bench Press,14,4
User_18,Tricep Dips,6,2
User_18,Bench Press,15,3
User_18,Deadlifts,15,2
User_18,Lunges,8,3
User_18,Lunges,13,4
User_19,Lunges,12,5
User_19,Plank,15,3
User_19,Lunges,5,5
User_19,Shoulder Press,14,3
User_19,Plank,15,5
User_20,Squats,7,3
User_20,Bicep Curls,15,5
User_20,Tricep Dips,8,2
User_20,Lunges,12,2
User_20,Bicep Curls,8,5
User_21,Lunges,9,3
User_21,Push-Ups,8,4
User_21,Push-Ups,14,2
User_21,Bench Press,10,3
User_21,Bench Press,14,3
User_22,Bicep Curls,10,3
User_22,Bicep Curls,11,3
User_22,Squats,10,2
User_22,Deadlifts,14,4
User_22,Tricep Dips,11,2
User_23,Deadlifts,7,3
User_23,Shoulder Press,15,2
User_23,Plank,12,4
User_23,Push-Ups,7,4
User_23,Squats,13,4
User_24,Bicep Curls,7,3
User_24,Tricep Dips,5,4
User_24,Squats,11,3
User_24,Leg Press,10,4
User_24,Push-Ups,12,5
User_25,Bench Press,5,4
User_25,Bench Press,9,4
User_25,Lunges,8,3
User_25,Bicep Curls,6,4
User_25,Squats,14,3
User_26,Bench Press,5,3
User_26,Lunges,6,2
User_26,Leg Press,9,2
User_26,Bicep Curls,10,4
User_26,Deadlifts,10,4
User_27,Leg Press,14,3
User_27,Squats,8,3
User_27,Shoulder Press,9,5
User_27,Deadlifts,12,3
User_27,Deadlifts,14,5
User_28,Lunges,7,3
User_28,Bench Press,13,5
User_28,Deadlifts,5,3
User_28,Bicep Curls,13,3
User_28,Squats,7,4
User_29,Plank,10,4
User_29,Push-Ups,6,2
User_29,Tricep Dips,5,2
User_29,Bicep Curls,6,3
User_29,Leg Press,12,5
User_30,Bicep Curls,15,2
User_30,Lunges,8,3
User_30,Bicep Curls,14,2
User_30,Shoulder Press,5,3
User_30,Plank,14,5
User_31,Deadlifts,13,2
User_31,Lunges,13,4
User_31,Deadlifts,15,5
User_31,Plank,11,4
User_31,Bench Press,7,3
User_32,Deadlifts,15,5
User_32,Bicep Curls,11,4
User_32,Deadlifts,14,5
